District,Population,Area,Density,Mensual_Household_Income,Annual_Income,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Burger King,Mc Donalds,KFC,Total_Venues,Total_Competitors
Adalar,16372,11,1482,6652,79821,40.8723613,29.1304477,10,4,4,48,17,50,52,10,20,97,0,0,0,312,0
Arnavutköy,312023,450,693,2030,24360,41.184471,28.7412446,16,25,9,81,10,48,102,22,96,11,5,0,0,420,5
Ataşehir,427217,25,16933,6577,78924,40.9847487,29.1067199,30,91,7,190,36,106,165,69,102,56,8,3,6,852,17
Avcılar,457981,42,10902,3662,43938,40.9801353,28.7175465,43,56,11,210,77,100,109,40,90,70,4,2,2,806,8
Bağcılar,744351,22,33289,3197,38367,41.0338992,28.8578982,49,82,17,129,33,115,103,30,91,27,6,2,2,676,10
Bahçelievler,605300,16,36420,4674,56088,38.881312,35.6277609,0,0,0,0,0,0,1,0,0,0,8,2,3,1,13
Bakırköy,228759,29,7718,8845,106140,40.9835414,28.8679735,60,90,2,217,52,115,145,49,97,65,17,5,6,892,28
Başakşehir,503243,104,4825,4513,54152,41.0976935,28.8061626,4,28,2,79,7,49,95,55,57,5,7,0,3,381,10
Bayrampaşa,274884,9,28604,3480,41762,41.0357375,28.9122605,44,48,10,199,31,108,157,35,114,42,5,1,0,788,6
Beşiktaş,178938,18,9935,10560,126720,41.0428465,29.0075283,70,61,6,162,100,82,92,29,71,79,9,3,4,752,16
Beykoz,248595,310,801,3693,44316,41.1239355,29.1083151,6,14,3,30,18,45,77,8,21,6,2,1,2,228,5
Beylikdüzü,398122,37,10538,4327,51924,41.0010262,28.6419843,27,43,9,148,24,76,87,118,67,15,4,3,3,614,10
Beyoğlu,233322,8,26187,4773,57275,41.0284233,28.9736808,130,54,18,224,217,89,190,32,117,159,4,2,1,1230,7
Büyükçekmece,269160,139,1934,3671,44049,41.0156913,28.5955238,12,15,6,156,48,74,58,38,52,25,4,1,1,484,6
Çatalca,76131,1115,68,2128,25536,41.1435632,28.4619692,6,11,4,88,13,49,110,54,82,12,0,0,0,429,0
Çekmeköy,288585,148,1949,3503,42033,41.04021,29.1750588,9,6,4,80,4,42,53,38,47,6,4,2,0,289,6
Esenler,447116,18,24260,2847,34164,41.0332539,28.8909528,31,96,12,185,29,100,97,37,68,90,1,0,0,745,1
Esenyurt,977489,43,22664,3024,36288,41.0342402,28.6800178,22,40,13,152,13,82,127,63,103,16,6,4,3,631,13
Eyüpsultan,417360,228,1827,4670,56044,41.0460444,28.9253241,10,31,5,141,17,90,116,33,64,42,10,3,0,549,13
Fatih,382990,15,24566,5281,63378,41.019297,28.9478024,36,47,15,235,49,101,163,19,102,66,7,4,3,833,14
Gaziosmanpaşa,493096,11,41930,3019,36228,41.0575263,28.9156504,43,71,9,48,14,72,110,22,71,38,3,1,1,498,5
Güngören,283083,7,39263,3388,40656,41.0228713,28.8726289,31,38,8,140,23,87,133,35,121,35,3,2,0,651,5
Kadıköy,485233,25,19340,9025,108300,40.9915716,29.0270173,137,77,17,222,145,92,104,25,93,96,12,10,10,1008,32
Kağıthane,454550,14,30568,4188,50260,41.08598,28.9726208,24,51,5,171,18,95,125,71,86,35,6,0,1,681,7
Kartal,480738,38,12474,4120,49443,47.66792,19.5311002,1,0,0,5,0,1,5,0,4,2,6,3,1,18,10
Küçükçekmece,805930,37,21469,3567,42804,41.0002141,28.7808891,39,42,11,140,24,86,93,33,63,24,7,1,2,555,10
Maltepe,525566,52,9922,5772,69259,40.9235417,29.1328359,48,64,6,207,53,91,109,30,79,58,7,4,5,745,16
Pendik,741895,179,4122,3055,36664,40.8765892,29.2333417,38,78,6,191,25,77,102,17,78,79,12,6,3,691,21
Sancaktepe,474668,62,7604,2633,31602,40.9968872,29.2366011,8,16,3,54,9,38,88,29,33,5,3,0,0,283,3
Sarıyer,349968,175,1995,7308,87696,41.1706034,29.0543628,11,14,8,97,9,59,73,12,58,18,7,2,4,359,13
Silivri,209014,869,240,2372,28464,41.0742476,28.2481709,30,39,10,136,24,96,109,42,119,40,2,0,0,645,2
Sultanbeyli,349485,29,11993,2172,26064,40.9680869,29.2587886,26,27,4,122,12,56,101,21,90,31,3,0,0,490,3
Sultangazi,543380,36,14969,2187,26244,41.1036181,28.8717963,30,27,5,165,24,105,124,37,93,23,2,0,2,633,4
Şile,41627,781,53,2482,29789,-31.7613365,-71.3187697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Şişli,284294,10,26545,7822,93864,41.0612733,28.9850203,66,76,10,200,48,94,163,60,121,93,13,7,4,931,24
Tuzla,284443,123,2301,3407,40884,44.5391105,18.675193,8,4,3,16,10,5,7,1,6,3,4,2,1,63,7
Ümraniye,726758,45,16040,3637,43641,41.0222688,29.090073,26,65,4,180,17,87,141,55,125,52,11,4,5,752,20
Üsküdar,525395,35,14871,6987,83839,41.0249053,29.0175283,45,59,6,157,20,98,104,16,68,68,7,5,6,641,18
Zeytinburnu,293839,11,25353,3644,6036,40.9881179,28.9036351,33,41,7,173,36,82,114,46,143,50,2,1,1,725,4
